model,selector,k,RI,ARI,NMI,AMI,Sil,abs_dk_ari
supervised_contrastive,elbow,70,0.9718604745510139,0.2396337923579776,0.5057813356018732,0.5037918050317449,0.10623205453157425,60
supervised_contrastive,silhouette,130,0.9784948205017586,0.2904672468883897,0.5523011712924244,0.5490938758845183,0.11818825453519821,0
supervised_contrastive,ari_oracle,130,0.9784948205017586,0.2904672468883897,0.5523011712924244,0.5490938758845183,0.11818825453519821,0
supervised_contrastive,nmi_oracle,200,0.9791161088528748,0.21960994953153196,0.5700974705867288,0.5655055134390208,0.10499289631843567,70
supervised_finetune,elbow,40,0.9730290455059292,0.4609382966746135,0.6990838843770032,0.6983564636956116,0.3259604871273041,20
supervised_finetune,silhouette,40,0.9730290455059292,0.4609382966746135,0.6990838843770032,0.6983564636956116,0.3259604871273041,20
supervised_finetune,ari_oracle,60,0.9797849035147104,0.5143995764639989,0.723153367976209,0.7221791755013955,0.3230972588062286,0
supervised_finetune,nmi_oracle,200,0.9833387592870164,0.4052660071903565,0.7550289696792908,0.7523844654170767,0.3034964203834533,140
ssl_contrastive,elbow,60,0.9699236565090958,0.2387201898000036,0.4884010082363131,0.4866120517342525,0.1136552989482879,10
ssl_contrastive,silhouette,190,0.9788781849063144,0.2216022415131913,0.56666528265967,0.562251164142081,0.1138312891125679,140
ssl_contrastive,ari_oracle,50,0.9671467508368096,0.2442419566629299,0.4725672279319966,0.4710038311925524,0.0996525436639785,0
ssl_contrastive,nmi_oracle,200,0.9788939776373758,0.206590716015535,0.5681598818320251,0.5635532528549989,0.1070411279797554,150
ssl_pretrain,elbow,120,0.944387040853609,0.1080635225153616,0.2886867736611241,0.2856511964198319,-0.0134467938914895,80
ssl_pretrain,silhouette,110,0.9365834072409678,0.1171720755264692,0.2622842359151335,0.2595316716119851,0.0130331134423613,90
ssl_pretrain,ari_oracle,200,0.9555372456915132,0.1653740326949591,0.3268818216550254,0.3210631843093335,0.0070834471844136,0
ssl_pretrain,nmi_oracle,200,0.9555372456915132,0.1653740326949591,0.3268818216550254,0.3210631843093335,0.0070834471844136,0
